Year,Farm,Property_Grouping,PK_Boundary,Simplified_Boundary,Very_Simplified_Boundary,Planting_date,Treatment,Colour,Rep,Number_of_Pods,Pod_number,Seed viable,Seed inviable,Native_new_age,Type_of_farm
2021-2022,Kenburn,Kenburn,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,2,10,7,13,0,On-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,2,10,10,12,0,On-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,2,10,3,12,1,On-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,2,10,1,10,0,On-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,1,6,1,13,0,On-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,1,6,2,15,0,On-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,1,6,3,16,0,On-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,2,6,1,16,0,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,2,6,2,11,0,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,2,6,3,12,0,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Open,NA,1,5,1,6,0,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Open,NA,1,5,2,3,0,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Open,NA,1,5,3,4,0,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Open,NA,1,5,4,4,0,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Open,NA,1,5,5,4,0,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Open,NA,2,14,3,11,0,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Open,NA,2,14,4,10,4,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Open,NA,2,14,9,10,0,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Open,NA,2,14,6,13,1,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Open,NA,2,14,7,11,4,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,15,4,17,0,Old native,Dairy
2021-2022,Kenburn,Kenburn,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,15,5,14,0,Old native,Dairy
2021-2022,Kenburn,Kenburn,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,15,16,15,9,Old native,Dairy
2021-2022,Kenburn,Kenburn,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,15,6,11,0,Old native,Dairy
2021-2022,Kenburn,Kenburn,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,1,6,4,20,0,Old native,Dairy
2021-2022,Kenburn,Kenburn,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,1,6,5,15,0,Old native,Dairy
