Year,Farm,Type_of_farm,Simplified_Boundary,Treatment,Mean_seeds_viable
2021-2022,Ahuriri,Arable,New native,Hand pollinated,16.2
2021-2022,Ahuriri,Arable,New native,Open,14.766666666666667
2021-2022,Ahuriri,Arable,New native,Closed,1
2021-2022,Ahuriri,Arable,Control farm,Hand pollinated,16.166666666666668
2021-2022,Ahuriri,Arable,Control farm,Open,10.4
2021-2022,Ashford 1,Dairy,New native,Hand pollinated,16.583333333333336
2021-2022,Ashford 1,Dairy,New native,Open,9.75
2021-2022,Ashford 1,Dairy,New native,Closed,0
2021-2022,Ashford 1,Dairy,Control farm,Hand pollinated,14.783333333333333
2021-2022,Ashford 1,Dairy,Control farm,Open,10.027777777777777
2021-2022,Ashford 1,Dairy,Control farm,Closed,2
2021-2022,Dorie,Dairy,Old native,Hand pollinated,16.47222222222222
2021-2022,Dorie,Dairy,Old native,Open,10.777777777777779
2021-2022,Dorie,Dairy,Old native,Closed,0
2021-2022,FAR,Arable,New native,Hand pollinated,16.166666666666668
2021-2022,FAR,Arable,New native,Open,12.055555555555555
2021-2022,FAR,Arable,New native,Closed,0
2021-2022,Kenburn,Dairy,Old native,Hand pollinated,16.130769230769232
2021-2022,Kenburn,Dairy,Old native,Open,12.142857142857142
2021-2022,Kenburn,Dairy,Old native,Closed,0
2021-2022,Kenburn,Dairy,Bare fence,Hand pollinated,14.619047619047619
2021-2022,Kenburn,Dairy,Bare fence,Open,10.5
2021-2022,Kenburn,Dairy,Bare fence,Closed,0
2021-2022,Kenburn,Dairy,Control farm,Hand pollinated,12.775
2021-2022,Kenburn,Dairy,Control farm,Open,9.466666666666667
2021-2022,Kenburn,Dairy,Control farm,Closed,0
2021-2022,Kowhai,Dairy,Old native,Hand pollinated,15.021464646464647
2021-2022,Kowhai,Dairy,Old native,Open,11.004761904761905
2021-2022,Kowhai,Dairy,Old native,Closed,0
2021-2022,Kowhai,Dairy,Bare fence,Hand pollinated,15.544444444444444
2021-2022,Kowhai,Dairy,Bare fence,Open,9.25
2021-2022,Kowhai,Dairy,Bare fence,Closed,2
2021-2022,Kowhai,Dairy,Control farm,Hand pollinated,15.333333333333334
2021-2022,Kowhai,Dairy,Control farm,Open,7.5476190476190474
2021-2022,Kowhai,Dairy,Control farm,Closed,1.25
2021-2022,Leaderbrand,Arable,Old native,Hand pollinated,12
2021-2022,Leaderbrand,Arable,Old native,Open,13.333333333333334
2021-2022,Leaderbrand,Arable,Old native,Closed,0
2021-2022,Leaderbrand,Arable,Bare fence,Hand pollinated,14.083333333333334
2021-2022,Leaderbrand,Arable,Bare fence,Open,8.333333333333334
2021-2022,Leaderbrand,Arable,Bare fence,Closed,0.5
2021-2022,Lochan Mor,Dairy,Old native,Hand pollinated,14.944444444444445
2021-2022,Lochan Mor,Dairy,Old native,Open,13.435185185185185
2021-2022,Lochan Mor,Dairy,Old native,Closed,0
2021-2022,Lochan Mor,Dairy,Bare fence,Hand pollinated,16.208333333333332
2021-2022,Lochan Mor,Dairy,Bare fence,Open,11.275
2021-2022,Lochan Mor,Dairy,Bare fence,Closed,0.5
2021-2022,Lochan Mor,Dairy,Control farm,Hand pollinated,14.444444444444445
2021-2022,Lochan Mor,Dairy,Control farm,Open,10.430555555555555
2021-2022,Lochan Mor,Dairy,Control farm,Closed,0.1
2021-2022,Marr,Arable,Old native,Hand pollinated,15.25
2021-2022,Marr,Arable,Old native,Open,13.8
2021-2022,Marr,Arable,Old native,Closed,3.9444444444444446
2021-2022,Marr,Arable,Bare fence,Hand pollinated,12.75
2021-2022,Marr,Arable,Bare fence,Open,9.333333333333332
2021-2022,Marr,Arable,Bare fence,Closed,0.2
2021-2022,Pareka,Dairy,Old native,Hand pollinated,15.047619047619047
2021-2022,Pareka,Dairy,Old native,Open,14.804761904761904
2021-2022,Pareka,Dairy,Old native,Closed,0.26666666666666666
2021-2022,Pareka,Dairy,Bare fence,Hand pollinated,17
2021-2022,Pareka,Dairy,Bare fence,Open,7.826984126984127
2021-2022,Pareka,Dairy,Bare fence,Closed,0
2021-2022,Pareka,Dairy,Control farm,Hand pollinated,14.93452380952381
2021-2022,Pareka,Dairy,Control farm,Open,6.533333333333333
2021-2022,Pareka,Dairy,Control farm,Closed,0.26666666666666666
2021-2022,Pocock,Dairy,Old native,Hand pollinated,16.8
2021-2022,Pocock,Dairy,Old native,Open,15.577777777777778
2021-2022,Pocock,Dairy,Old native,Closed,1
2021-2022,Pocock,Dairy,New native,Hand pollinated,15.305555555555555
2021-2022,Pocock,Dairy,New native,Open,11.933333333333334
2021-2022,Pocock,Dairy,New native,Closed,4
2021-2022,Pocock,Dairy,Bare fence,Hand pollinated,12.694444444444445
2021-2022,Pocock,Dairy,Bare fence,Open,10.833333333333332
2021-2022,Pocock,Dairy,Bare fence,Closed,1.5
2021-2022,Te Maania,Dairy,Old native,Hand pollinated,13.922222222222222
2021-2022,Te Maania,Dairy,Old native,Open,13.869047619047619
2021-2022,Te Maania,Dairy,Old native,Closed,0.4666666666666666
2021-2022,Te Maania,Dairy,Bare fence,Hand pollinated,9.46031746031746
2021-2022,Te Maania,Dairy,Bare fence,Open,10.269841269841269
2021-2022,Te Maania,Dairy,Bare fence,Closed,0
2021-2022,Te Maania,Dairy,Control farm,Hand pollinated,14.250793650793652
2021-2022,Te Maania,Dairy,Control farm,Open,8.825
2021-2022,Te Maania,Dairy,Control farm,Closed,0
2021-2022,Terrace View,Dairy,Old native,Hand pollinated,15.542424242424241
2021-2022,Terrace View,Dairy,Old native,Open,16.56547619047619
2021-2022,Terrace View,Dairy,Old native,Closed,0.5833333333333334
2021-2022,Terrace View,Dairy,New native,Hand pollinated,17.53333333333333
2021-2022,Terrace View,Dairy,New native,Open,14.175
2021-2022,Terrace View,Dairy,New native,Closed,0.6666666666666666
2021-2022,Terrace View,Dairy,Bare fence,Hand pollinated,17.03611111111111
2021-2022,Terrace View,Dairy,Bare fence,Open,12.655555555555555
2021-2022,Terrace View,Dairy,Bare fence,Closed,0.8833333333333333
2021-2022,Terrace View,Dairy,Control farm,Hand pollinated,15.638095238095238
2021-2022,Terrace View,Dairy,Control farm,Open,10.907407407407407
2021-2022,Terrace View,Dairy,Control farm,Closed,0
2021-2022,Tweed,Arable,New native,Hand pollinated,17.166666666666664
2021-2022,Tweed,Arable,New native,Open,9.5
2021-2022,Tweed,Arable,New native,Closed,0
2021-2022,Tweed,Arable,Bare fence,Hand pollinated,14
2021-2022,Tweed,Arable,Bare fence,Open,8
2021-2022,Tweed,Arable,Bare fence,Closed,0
2021-2022,Wakanui,Arable,New native,Hand pollinated,17.166666666666668
2021-2022,Wakanui,Arable,New native,Open,13.416666666666666
2021-2022,Wakanui,Arable,New native,Closed,0.75
2021-2022,Ward,Arable,Old native,Hand pollinated,13.333333333333332
2021-2022,Ward,Arable,Old native,Open,11.416666666666668
2021-2022,Ward,Arable,Old native,Closed,0
2021-2022,Ward,Arable,Bare fence,Hand pollinated,16.416666666666668
2021-2022,Ward,Arable,Bare fence,Open,12.25
2022-2023,Ahuriri,Arable,New native,Hand pollinated,9.5
2022-2023,Ahuriri,Arable,New native,Open,15.527777777777777
2022-2023,Ahuriri,Arable,New native,Closed,0.2222222222222222
2022-2023,Ahuriri,Arable,Control farm,Hand pollinated,18.944444444444446
2022-2023,Ahuriri,Arable,Control farm,Open,13
2022-2023,Ahuriri,Arable,Control farm,Closed,0
2022-2023,Ashford 1,Dairy,New native,Hand pollinated,16.22222222222222
2022-2023,Ashford 1,Dairy,New native,Open,19.22222222222222
2022-2023,Ashford 1,Dairy,New native,Closed,0.16666666666666666
2022-2023,Ashford 1,Dairy,Control farm,Hand pollinated,17.5
2022-2023,Ashford 1,Dairy,Control farm,Open,11.38888888888889
2022-2023,Ashford 1,Dairy,Control farm,Closed,0
2022-2023,Dorie,Dairy,Old native,Hand pollinated,20.27777777777778
2022-2023,Dorie,Dairy,Old native,Open,17.11111111111111
2022-2023,Dorie,Dairy,Old native,Closed,0.047619047619047616
2022-2023,FAR,Arable,Old native,Hand pollinated,17.666666666666664
2022-2023,FAR,Arable,Old native,Open,17.11111111111111
2022-2023,FAR,Arable,Old native,Closed,0.16666666666666666
2022-2023,FAR,Arable,New native,Hand pollinated,19.5
2022-2023,FAR,Arable,New native,Open,18.444444444444443
2022-2023,FAR,Arable,New native,Closed,0.45833333333333337
2022-2023,Kenburn,Dairy,Old native,Hand pollinated,15.78030303030303
2022-2023,Kenburn,Dairy,Old native,Open,18.433333333333334
2022-2023,Kenburn,Dairy,Old native,Closed,1.1574074074074074
2022-2023,Kenburn,Dairy,Bare fence,Hand pollinated,17.25
2022-2023,Kenburn,Dairy,Bare fence,Open,14.972222222222223
2022-2023,Kenburn,Dairy,Bare fence,Closed,0.25
2022-2023,Kenburn,Dairy,Control farm,Hand pollinated,19.944444444444443
2022-2023,Kenburn,Dairy,Control farm,Open,16.244444444444444
2022-2023,Kenburn,Dairy,Control farm,Closed,0.5833333333333334
2022-2023,Kowhai,Dairy,Old native,Hand pollinated,18.944444444444443
2022-2023,Kowhai,Dairy,Old native,Open,16.583333333333332
2022-2023,Kowhai,Dairy,Old native,Closed,0.08333333333333333
2022-2023,Kowhai,Dairy,Bare fence,Hand pollinated,16.633333333333333
2022-2023,Kowhai,Dairy,Bare fence,Open,7.708333333333334
2022-2023,Kowhai,Dairy,Bare fence,Closed,0.08333333333333333
2022-2023,Kowhai,Dairy,Control farm,Hand pollinated,19.444444444444443
